Year,State,value
1932,Calif.,214.0821174
1932,Colo.,222.8893058
1932,Conn.,348.2590104
1932,D.C.,53.21637427
1932,Del.,15.91836735
1932,Fla.,13.60946746
1932,Ga.,34.37819421
1932,Hawaii,
1932,Iowa,6.347930896
1932,Idaho,8.71459695
1932,Ill.,208.2859359
1932,Ind.,88.81438586
1932,Kan.,326.606479
1932,Ky.,72.98206278
1932,La.,67.42459397
1932,Mass.,463.183846
1932,Md.,65.13706794
1932,Maine,1086.257669
1932,Mich.,881.0878661
1932,Minn.,95.08692366
1932,Mo.,43.19273892
1932,Miss.,
1932,Mont.,1007.962963
1932,N.C.,423.086458
1932,N.D.,318.0473373
1932,Neb.,31.6017316
1932,N.H.,151.2658228
1932,N.J.,373.9563107
1932,N.M,271.8820862
1932,Nev.,
1932,N.Y.,465.0719175
1932,Ohio,539.3479232
1932,Okla.,43.19131161
1932,Ore.,514.1975309
1932,Pa.,470.6780008
1932,R.I.,1472.67356
1932,S.C.,182.6086957
1932,S.D.,96.38728324
1932,Tenn.,68.97823681
1932,Texas,76.56433484
1932,Utah,13.92649903
1932,Va.,53.38499184
1932,Vt.,1146.089385
1932,Wash.,631.8813131
1932,Wis.,935.286329
1932,W.Va.,599.6565541
1932,Wyo.,242.173913
1933,Alaska,
1933,Ala.,65.20105224
1933,Ark.,293.3117584
1933,Ariz.,296.0093897
1933,Calif.,445.2624518
1933,Colo.,27.73109244
1933,Conn.,330.6942753
1933,D.C.,100.7561437
1933,Del.,82.66129032
1933,Fla.,63.98195876
1933,Ga.,156.8813559
1933,Hawaii,
1933,Iowa,33.0260521
1933,Idaho,193.5344828
1933,Ill.,155.6642636
1933,Ind.,108.0508475
1933,Kan.,335.0559403
1933,Ky.,57.82060786
1933,La.,42.7456382
1933,Mass.,351.8682858
1933,Md.,41.14521842
1933,Maine,13.39829476
1933,Mich.,462.1129707
1933,Minn.,752.3381968
1933,Mo.,152.9552081
1933,Miss.,
1933,Mont.,419.5933457
1933,N.C.,495.624235
1933,N.D.,373.5905045
1933,Neb.,117.3285199
1933,N.H.,218.4486373
1933,N.J.,726.9296323
1933,N.M,148.7750557
1933,Nev.,
1933,N.Y.,548.9638885
1933,Ohio,233.694362
1933,Okla.,101.8812709
1933,Ore.,230.3680982
1933,Pa.,336.3859362
1933,R.I.,9.333333333
1933,S.C.,360.673516
1933,S.D.,299.1304348
1933,Tenn.,133.4910812
1933,Texas,361.3900898
1933,Utah,402.1153846
1933,Va.,351.8699187
1933,Vt.,312.605042
1933,Wash.,155.8417085
1933,Wis.,317.4671053
1933,W.Va.,303.3675799
1933,Wyo.,249.1304348
1934,Alaska,
1934,Ala.,590.2793296
1934,Ark.,384.5580405
1934,Ariz.,238.7850467
1934,Calif.,423.2673267
1934,Colo.,1204.27907
1934,Conn.,282.3636364
1934,D.C.,1137.5
1934,Del.,1225.2
1934,Fla.,505.6782334
1934,Ga.,774.7975709
1934,Hawaii,
1934,Iowa,346.374502
1934,Idaho,252.4312896
1934,Ill.,574.8327329
1934,Ind.,631.0033143
1934,Kan.,538.8650964
1934,Ky.,422.5202057
1934,La.,220.9809264
1934,Mass.,1039.465738
1934,Md.,1575.906433
1934,Maine,78.04583836
1934,Mich.,132.4510213
1934,Minn.,313.580705
1934,Mo.,539.4820296
1934,Miss.,
1934,Mont.,355.9633028
1934,N.C.,1685.35109
1934,N.D.,657.5892857
1934,Neb.,331.0419682
1934,N.H.,846.6666667
1934,N.J.,359.9413059
1934,N.M,731.8872017
1934,Nev.,
1934,N.Y.,258.1151437
1934,Ohio,410.5021478
1934,Okla.,378.0844835
1934,Ore.,193.5025381
1934,Pa.,848.1470138
1934,R.I.,65.77777778
1934,S.C.,637.6136364
1934,S.D.,1373.900293
1934,Tenn.,647.8448276
1934,Texas,490.6492648
1934,Utah,2184.8659
1934,Va.,1158.752515
1934,Vt.,380.6722689
1934,Wash.,473.7888199
1934,Wis.,1332.874918
1934,W.Va.,231.7899492
1934,Wyo.,967.3819742
1935,Alaska,
1935,Ala.,265.3181317
1935,Ark.,80.31746032
1935,Ariz.,135.0230415
1935,Calif.,466.3805668
