freq,nrg_bal,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,REN,PC,PT	19.205 	19.523 	20.792 	21.907 	22.929 	24.405 	24.15 	24.603 	24.574 	25.699 	29.508 	30.514 	30.864 	30.611 	30.203 	30.623 	33.982 	33.982 	34.677 
A,REN,PC,RO	16.811 	17.571 	17.096 	18.195 	20.204 	22.157 	22.834 	21.743 	22.825 	23.886 	24.845 	24.785 	25.032 	24.454 	23.875 	24.29 	24.478 	23.871 	24.14 
A,REN,PC,RS	12.724 	14.257 	14.542 	14.327 	15.888 	21.024 	19.763 	19.118 	20.79 	21.095 	22.864 	21.989 	21.147 	20.287 	20.32 	21.443 	26.297 	25.255 	24.67 
A,REN,PC,SE	38.427 	39.982 	41.734 	43.224 	43.922 	47.024 	46.099 	47.632 	49.403 	50.153 	51.151 	52.22 	52.597 	53.39 	53.916 	55.785 	60.124 	62.686 	66.002 
A,REN,PC,SI	18.397 	19.809 	18.416 	19.675 	18.646 	20.765 	21.081 	20.937 	21.551 	23.16 	22.459 	22.879 	21.975 	21.658 	21.378 	21.968 	25 	25 	25.002 
A,REN,PC,SK	6.391 	6.36 	6.584 	7.766 	7.723 	9.368 	9.099 	10.348 	10.453 	10.133 	11.713 	12.882 	12.029 	11.465 	11.896 	16.894 	17.345 	17.419 	17.501 
A,REN,PC,XK	20.541 	19.773 	19.511 	18.812 	18.429 	18.23 	18.23 	17.598 	18.625 	18.823 	19.544 	18.484 	24.472 	23.082 	24.616 	24.215 	24.401 	22.14 	18.779 
A,REN_ELC,PC,AL	69.979 	76.112 	74.208 	79.631 	73.299 	70.714 	74.618 	66.131 	72.427 	62.665 	70.985 	79.222 	82.104 	91.025 	92.45 	92.994 	99.975 	94.421 	102.968 
A,REN_ELC,PC,AT	61.627 	62.901 	63.527 	65.666 	65.88 	68.626 	66.361 	66.779 	67.439 	68.909 	71.059 	71.487 	72.521 	71.626 	74.189 	75.067 	78.204 	73.97 	74.67 
A,REN_ELC,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.394 	38.726 	40.829 	39.564 	41.498 	45.482 	49.308 	46.318 	: 
A,REN_ELC,PC,BE	1.714 	2.386 	3.13 	3.662 	4.625 	6.176 	7.332 	8.989 	11.338 	12.547 	13.414 	15.573 	15.834 	17.214 	18.886 	20.817 	25.122 	26.012 	29.106 
A,REN_ELC,PC,BG	8.358 	8.666 	8.73 	8.899 	9.544 	10.906 	12.358 	12.621 	15.816 	18.682 	18.686 	18.975 	19.147 	19.022 	22.355 	23.509 	23.586 	21.413 	20.235 
A,REN_ELC,PC,CY	0.019 	0.024 	0.034 	0.074 	0.285 	0.589 	1.39 	3.445 	4.927 	6.654 	7.399 	8.445 	8.587 	8.911 	9.357 	9.756 	12.041 	14.84 	16.963 
A,REN_ELC,PC,CZ	3.693 	3.782 	4.096 	4.621 	5.182 	6.378 	7.516 	10.61 	11.667 	12.781 	13.89 	14.072 	13.615 	13.654 	13.711 	14.046 	14.81 	14.468 	15.499 
A,REN_ELC,PC,DE	9.436 	10.577 	11.944 	13.727 	15.141 	17.521 	18.241 	20.93 	23.605 	25.284 	28.171 	30.882 	32.273 	34.612 	37.591 	40.604 	44.215 	43.88 	47.637 
